City,County,Name,Phone,Street1
Little Rock,Pulaski,West Little Rock Women's Center,501-907-6699,12921 Cantrell Rd
Mountain Home,Baxter,"North Central Arkansas Medical Associates, PA",870-425-3131,614 North Town
Mena,Polk,First Care Family Medicine - Mena PLLC,479-394-1500,1706 Hwy 71 North
Lonoke,Lonoke,Lyons Drug Store,501-676-2247,115 West Front St.
Rogers,Benton,Direct Care Clinic of Northwest Arkansas,479-268-4504,2104 S. 54th St
Conway,Faulkner,Freeman Family Medicine,501-327-0110,600 Club Lane
El Dorado,Union,"South Arkansas Womens Clinic, PLC",870-863-8444,706 W Grove St
Glenwood,Pike,Glenwood Family Medicine,870-356-4801,248 Hwy 70 East
Hot Springs,Garland,Hamilton West Family Medicine,501-767-0075,1629 Airport Road
Malvern,Hot Spring,First Care Malvern School-Based Community Clinic,501-332-7525,1517 South Main Street
Hot Springs,Garland,FirstCare Walk-in Clinic,501-651-4500,120 Adcock Road
Hot Springs,Garland,Lakeside Family Medicine,501-624-0070,124 Hollywood Avenue
Hot Springs,Garland,Lake Hamilton Family Medicine,501-651-4300,1661 Airport Road
Hot Springs,Garland,Fountain Lake Family Medicine,501-623-7900,4517 Park Avenue
Hot Springs,Garland,West Gate Family Medicine,501-767-1144,2266 Albert Pike Road
Arkadelphia,Clark,Bray Family Medicine,870-464-1515,303 Professional Park Drive
Fort Smith,Sebastian,Advanced Interventional Pain & Diagnostics,479-651-6211,7303 Rogers Ave
LITTLE ROCK,Pulaski,CORNERSTONE PHARMACY OTTER CREEK,501-455-1900,10320 STAGECOACH RD
West Memphis,Arkansas,Hashmi Medical Associates PLLC,870-394-9149,710 N Missouri St
Jonesboro,Craighead,Jonesboro Internal Medicine Clinic,870-932-2221,3202 Methodist Drive
Pine Bluff,Jefferson,"James A. Campbell, Jr MD & Associates PC",870-535-7070,1706 W 42nd Avenue
Mountain View,Stone,Stone County Medical Center,870-262-5005,2106 East Main St
Batesville,Independence,White River Medical Center,870-262-1273,1710 Harrison St
Harrison,Boone,NARMC Family Doctor's Clinic,870-741-8286,520 N Spring St
Harrison,Boone,NARMC Medicine Group,870-365-0850,724 N Spring St
Jasper,Newton,Newton County Family Practice,870-446-2203,502 W Court St
Harrison,Boone,NARMC Internal Medicine,870-743-2448,724 N Spring St
Marshall,Searcy,Marshall Family Practice,870-448-3327,211 Airport Rd
Lead Hill,Boone,Claude Parrish Community Health Center,870-436-5271,131 E  AR 14
Harrison,Boone,NARMC MEDI-QUICK PHARMACY,870-741-2500,724 N Spring St
Lead Hill,Boone,CLAUDE PARRISH COMMUNITY HEALTH CLINIC,870-436-5271,131 AR 14
Jasper,Newton,NEWTON COUNTY FAMILY PRACTICE,870-446-2203,502 W Court St
Harrison,Boone,North Arkansas Regional Medical Center,870-414-4017,620 N Main Street
Hope,Hempstead,Premier Central Inc,870-777-6002,900 S Main St
Conway,Faulkner,Central Arkansas Pediatrics,501-328-0055,3010 Fountain Drive
Salem,Fulton,Palace Drug of Salem,870-895-3811,106 Hwy 62 W
Fayetteville,Washington,HIGHLANDS ONCOLOGY GROUP- FAYETTEVILLE,479-587-1700,3232 N. North Hills Blvd.
Springdale,Benton,"Highlands Oncology Group, PA",479-587-1700,808 S 52nd Street
Springdale,Washington,"Highlands Oncology Group, PA",479-587-1700,3901 Parkway Circle
Palestine,St. Francis,Palestine Family Pharmacy,870-970-0200,411 Main Street
LITTLE ROCK,Pulaski,ANIL K BADHWAR M.D PA,501-455-7003,11321 I-30
De Queen,Sevier,Lofton Family Clinic,870-642-4000,203 W De Queen Ave
Beebe,White,Burrow's Drug,501-882-5425,45 Highway 64 West
Little Rock,Pulaski,Park West Pharmacy,501-224-3499,904 Autumn Road
Cherokee Village,Sharp,Econo-Med Pharmacy,870-856-4696,1 Choctaw Ctr
BELLA VISTA,Benton,CORNERSTONE PHARMACY OF BELLA VISTA,479-876-6200,1 MERCY WAY
Little Rock,Pulaski,Arkansas Fertility & Gynecology,501-801-1200,9101 Kanis Road
Salem,Arkansas,"Paul David Kauffman, MD (SALEM FAMILY CLINIC)",870-895-2541,507 North Main St
CONWAY,Faulkner,TILLEY FAMILY MEDICINE,501-327-1150,495 HOGAN LANE
North Little Rock,Pulaski,Oak Grove Pharmacy,501-851-3636,11114 MacArthur Drive
Sheridan,Grant,McCoy Tygart Drug,870-942-5121,821 N Rock St
Little Rock,Pulaski,"Cornerstone Pharmacy Main, LLC",501-246-5451,1701 Main Street
Helena,Phillips,Cypert Ridge Family Practice,870-338-8312,812 B Newman Drive
Sheridan,Grant,Sheridan Family Pharmacy,870-484-4488,677 Heritage Dr
Glenwood,Pike,Buck's Pharmacy,870-356-2288,408 N 1st Street
El Dorado,Union,SAMA Healthcare Services,870-862-2400,600 S Timberlane
Bentonville,Benton,Premier Dermatology,479-273-3376,901 SE Plaza
Mountain View,Stone,Best Drug Store,870-269-4329,100 Case Commons Dr
Little Rock,Pulaski,Arkansas Diagnostic Center,501-227-7688,8908 Kanis Road
conway,Faulkner,conway medcare pharmacy,501-358-3498,2521 college ave
monticello,Drew,The Prescription Pad Pharmacy,870-367-4227,539 highway 425 south
Camden,Ouachita,NEAT RX Inc. dba Camden Drug,870-836-9303,1005 W Washington
Conway,Faulkner,Arkansas Pediatrics of Conway,501-329-1800,2710 College Ave.
Malvern,Hot Spring,Haskell Family Medical Clinic,501-337-5678,1003 Schneider Drive
Malvern,Hot Spring,Tilley Diagnostic Clinic,501-337-5678,1003 Schneider Drive
McGehee,Desha,Sav-Mart Pharmacy,870-222-6676,1007 Hwy 65 S
Little Rock,Pulaski,Arkansas Urology,501-219-8900,1300 Centerview Drive
Monticello,Drew,City Drug,870-367-5301,201 East Gaines
Warren,Bradley,Gannaway Drug Store,870-226-3751,101 N Main
Morrilton,Conway,Health-Care Pharmacy,501-354-1460,10 Hospital Drive
Batesville,Independence,Bryant's Pharmacy & Health Care Center,870-793-3999,2000 Harrison St
Forrest City,St. Francis,Forrest City Family Pharmacy,870-581-9029,2307 N Washington
Conway,Arkansas,"Bowlin-Cummins, PA, DBA Banister-Lieblong Clinic",501-329-3824,2425 Dave Ward Drive
Jonesboro,Craighead,The Childrens Clinic- Jonesboro,879-935-6012,800 S Church St
North Little Rock,Pulaski,"Arkansas Gastroenterology, PA",501-945-3343,3401 Springhill Dr
Newport,Jackson,Unity Health Newport Family Medical Clinic,870-523-1022,1200 McLain St
Newport,Jackson,Unity Health Harris Family Practice,870-495-1349,1200 McLain
Newport,Jackson,Unity Health Green Family Practice,870-523-0193,1200 McLain St
Newport,Jackson,Unity Health Newport Primary Care Clinic,870-523-2320,"1200 McLain St, Ste B"
Newport,Jackson,Unity Health Harris OB/GYN Clinic,870-523-3289,1201 McLain Street
Newport,Jackson,Unity Health Harris Medical Center,870-523-8911,1205 McLain Street
Beebe,White,Unity Health McAfee Medical Clinic,501-882-5433,710A DeWitt Henry Drive
Bradford,White,Unity Health Bradford Medical Clinic,501-344-8800,504 W Main Street
Searcy,White,Unity Health Westside Family Medical Clinic,501-268-3733,103 Woodlane Drive
Searcy,White,Unity Health Family Practice Associates,501-268-3232,"3130 E Race, Ste 100"
Clinton,Van Buren,Unity Health Red River Family Medicine,501-745-3033,175 Volunteers Parkway
Cabot,Lonoke,Unity Health North Cabot Family Medicine,501-843-5757,1911 N. 2nd Street
Cabot,Lonoke,Unity Health Medical Clinic of Cabot,501-941-3345,2251 Bill Foster Memorial Highway
Searcy,White,Unity Health Searcy Medical Center West,501-278-2800,2505 West Beebe Capps Expressway
Searcy,White,Unity Health Searcy Medical Center,501-278-2800,2900 Hawkins Drive
Searcy,White,Unity Health White County Medical Center,501-380-1380,3214 East Race Ave
Mount ida,Montgomery,Mt Ida Pharmacy,870-867-3174,74; hwy 270 east
Hot Springs,Garland,National Park Medical Center,501-620-1401,1910 Malvern Ave
Little Rock,Pulaski,Little Rock Allergy & Asthma Clinic,501-978-7158,18 Corporate Hill Drive
Conway,Faulkner,Sav-On Drugs of AR,501-327-6777,1014 Harkrider St
Star City,Lincoln,Doctor's Orders Pharmacy 3 Star City,870-628-4004,500 S Lincoln
White Hall,Jefferson,Doctor's Orders Pharmacy 1 White Hall,870-850-8010,7240 Sheridan Road
Pine Bluff,Jefferson,Doctor's Orders Pharmacy 2 Pine Bluff,870-671-4914,2302 W 28th Avenue
White Hall,Jefferson,White Hall Family Medicine,870-247-9499,1400 Claud Road
Walnut Ridge,Lawrence,Economed of Walnut Ridge,870-886-5200,1045 W Main
Fort Smith,Sebastian,Prince Drug Store Inc,479-782-9210,1112 Towson Ave
Clarksville,Johnson,Clarksville Family Pharmacy,479-647-3138,510 S. Rogers St.
North Little Rock,Pulaski,North Little Rock Women's Clinic,501-835-9444,3401 Springhill Drive
Crossett,Ashley,Monticello Medical Clinic - Crossett,870-364-0000,201 Fairview
Star City,Lincoln,Monticello Medical Clinic - Star City,870-628-1388,1306 N. Lincoln Ave.
Monticello,Drew,Monticello Medical Clinic,870-367-6867,906 Roberts Dr.
Monticello,Arkansas,Monticello Medical Clinic 2,870-460-4766,733 Roberts Dr.
Pine Bluff,Jefferson,Simmie Armstrong Jr. MD DBA Pine Bluff Medical Center,870-535-6461,1400 West 43rd Avenue
White Hall,Jefferson,"Mark Ramiro, MD PA",870-247-9499,1400 Claud Road
Benton,Saline,Saline Memorial Hospital,501-776-6165,#1 Medical Park Drive
Mayflower,Faulkner,Roland Drug Store #2,501-470-9627,600 State Hwy 365
Little Rock,Pulaski,Fouir Seasons Allergy and Asthma,501-221-1956,11614 Huron Lane
Conway,Faulkner,"Conway OB-GYN Clinic, PA",501-327-6547,2180 Ada Avenue
Newport,Jackson,iCareRx Pharmacy,870-523-5555,1117 McLain St
Crossett,Ashley,Gammel's Clinic Pharmacy,870-364-5100,909 Unity Rd
Decatur,Benton,Decatur Medi Clinic,479-752-3233,346 N Main Street
Russellville,Pope,Cobb's Westside Pharmacy,479-968-7180,108 Skyline Drive
Glenwood,Pike,Woodard Family Pharmacy,870-356-2193,210 E Broadway
Elkins,Washington,Harps Pharmacy #115,479-643-2319,1951 N. Center Street
Cabot,Lonoke,Harps Pharmacy #114,501-843-3374,801 North 2nd Street
Siloam Springs,Benton,Harps Pharmacy #113,479-549-3200,201 Hwy 412 West
Greenbrier,Faulkner,Harps Pharmacy #111,501-679-0470,15 N Broadview Street
Green Forest,Carroll,Harps Pharmacy #103,870-438-5614,705 W. Main Street
Waldron,Scott,Harps Pharmacy #180,479-637-1007,1350 West 6th Street
Van Buren,Crawford,Price Cutter Pharmacy #352,479-471-0800,120 Cloverleaf Plaza
Springdale,Washington,Harps Pharmacy #119,479-751-0882,2894 West Sunset
Morrilton,Conway,Harps Pharmacy #308,501-477-5048,100 S. St. Joseph Street
Hot Springs,Garland,Harps Pharmacy #391,501-760-1283,146 Thornton Ferry Road
Brookland,Craighead,"Barkley Enterprises, Inc. dba The Pharmacy at Brookland",870-206-9920,406 Honeysuckle Lane
Mountain Home,Baxter,Baxter Regional,870-508-7450,628 Hospital Drive
Conway,Faulkner,Harps Pharmacy #144,501-329-3733,1120 East German Lane
Mountain Home,Baxter,Baxter Regional Medical Center,870-508-1370,624 Hospital Dr
HEBER SPRINGS,Cleburne,FAMILY DISCO PHARMACY,501-362-5853,120 SOUTH 4TH STREET
Corning,Clay,Goodman Drug Company,870-857-0551,1109 West Main
Little Rock,Pulaski,Arkansas Allergy & Asthma Clinic,501-227-5210,5 Executive Center Court
Helena,Phillips,Helena Family Health Center,870-817-0122,513 Porter Street
Trumann,Poinsett,Trumann Family Health Center,870-483-1025,417 West Main Street
Blytheville,Mississippi,Healthy Partners,870-532-6001,605 North 2nd Street
West Memphis,Crittenden,East Arkansas Family Health Center,870-735-3842,900 N. 7th Street
paragould,Greene,Family Practice clinic of Paragould,870-239-4076,1015 west kingshighway
PIGGOTT,Clay,MCKENNEY PHARMACY,870-324-5310,264 N. 3RD AVE
Fayetteville,Washington,"Hedberg Allergy and Asthma Center, PA",479-464-8887,1585 E Rainforest Road
Rogers,Benton,"Hedberg Allergy and Asthma Center, PA",479-464-8887,700 S 52nd St
STUTTGART,Arkansas,COKER-HAMPTON DRUG CO,870-673-2691,218 S MAIN
Morrilton,Conway,Morrilton Medical Clinic,501-354-0052,10 Hospital Dr
Fort Smith,Sebastian,MediSav Pharmacy #3,479-646-2971,5701 Jenny Lind Rd
Charleston,Sebastian,Medisav Pharmacy #1,479-965-2244,621 E Main St
Little Rock,Pulaski,CARTI,501-906-3010,8901 CARTI Way
Fort Smith,Arkansas,MediSav Pharmacy #2,479-452-0278,8820 Rogers Ave
DE QUEEN,Sevier,GONZALEZ PEDIATRICS,870-642-8640,821 WALTER J. LEEPER DRIVE
Little Rock,Pulaski,Little Rock Family Planning,501-225-3836,4 office park drive
Siloam Springs,Benton,Simmons Care Clinic - Van Buren,479-238-1222,1700-1 E Quarter Road
Siloam Springs,Benton,Simmons Care Clinic - Siloam Springs,479-238-1222,1700-1 E Quarter Road
Benton,Saline,Family Practice Associates,501-778-0934,1304 Military Rd
Russellville,Pope,Newton's Pharmacy,479-968-1157,715 W Main St
Trumann,Poinsett,The Daily Dose Pharmacy,870-709-0566,421 Hwy 463 N
Benton,Saline,Saline Heart Group,501-315-4008,1000 Hwy 35N
LITTLE ROCK,Pulaski,LITTLE ROCK PULMONARY CLINIC,501-224-0110,9601 BAPTIST HEALTH DR
Fort Smith,Sebastian,National Family Pharmacy,479-783-6135,1615 Dodson
Searcy,White,Harps Pharmacy #136,501-268-4171,2525 W Beebe-Capps Expressway
Mountain Home,Baxter,Harps Pharmacy #135,870-425-4127,924 Eastba Hwy 62
Huntsville,Madison,Harps Pharmacy #133,479-738-2202,115 Lee Street
Bentonville,Benton,Harps Pharmacy #127,479-273-5541,1209 N Walton Blvd
West Fprl,Washington,Harps Pharmacy #126,479-839-4365,266 Three Dog Lane
Fayetteville,Washington,Harps Pharmacy #124,479-251-9130,1274 Colorado Drive
Springdale,Washington,Harps Pharmacy #123,479-361-1950,1007 Jones Road
Rogers,Benton,Harps Pharmacy #117,479-631-7014,715 North 2nd Street
Stamps,Lafayette,Peoples Drug and Gifts,870-533-4311,237 main st
hazen,Prairie,J and B kelly inc (Prescription Shop),870-255-4403,202 south livermore
Little Rock,Pulaski,KROGER PHARMACY 02500622,501-225-6006,14000 CANTRELL
Hot Springs,Garland,KROGER PHARMACY 02500621,501-525-7296,4407 CENTRAL S STATE HWY 7
Hot Springs,Garland,KROGER PHARMACY 02500619,501-623-2650,215 AIRPORT RD
Little Rock,Pulaski,KROGER PHARMACY 02500623,501-217-7920,16105 B CHENAL PKWY
Jacksonville,Pulaski,KROGER PHARMACY 02500614,501-985-0822,103 GREGORY PL
Cabot,Lonoke,KROGER PHARMACY 02500613,501-628-5187,1295 W MAIN ST
Maumelle,Pulaski,KROGER PHARMACY 02500606,501-210-7671,110 COMMONS DR
Hot Springs,Garland,KROGER PHARMACY 02500590,501-624-5542,3341 CENTRAL AVE
Little Rock,Pulaski,KROGER PHARMACY 02500582,501-221-8301,10300 N RODNEY PARHAM RD
Little Rock,Pulaski,Kroger Pharmacy 02500550,501-375-5645,1100 E ROOSEVELT
England,Lonoke,KROGER PHARMACY 02500576,501-842-3471,301 PINE BLUFF HWY
West Memphis,Crittenden,KROGER PHARMACY 02500469,870-732-0283,300 I-40 SERVICE RD
Jonesboro,Craighead,KROGER PHARMACY 02500409,870-972-4739,1725 CARAWAY RD
Batesville,Independence,KROGER PHARMACY 02500687,870-793-3000,303 S ST LOUIS ST
Conway,Faulkner,KROGER PHARMACY 02500652,501-329-0795,101 W OAK ST
Little Rock,Pulaski,KROGER PHARMACY 02500644,501-663-3257,1900 N POLK
North Little Rock,Pulaski,KROGER PHARMACY 02500642,501-835-6530,6929 JFK BLVD
North Little Rock,Pulaski,KROGER PHARMACY 02500639,501-758-9307,2509 MCCAIN BLVD
Blytheville,Mississippi,KROGER PHARMACY 02500465,870-763-7951,400 W MOULTRIE
Benton,Saline,KROGER PHARMACY 02500637,501-315-3434,1410 MILITARY RD
NORTH LITTLE ROCK,Pulaski,KROGER PHARMACY 02500638,501-758-6360,4401 CAMP ROBINSON RD
Little Rock,Pulaski,KROGER PHARMACY 02500636,501-666-7997,614 N BEECHWOOD
Little Rock,Pulaski,KROGER PHARMACY 02500632,501-565-0188,6420  COLONEL GLENN
Little Rock,Pulaski,KROGER PHARMACY 02500630,501-227-8200,8415 W MARKHAM ST
Benton,Saline,KROGER PHARMACY 02500629,501-574-3884,20820 I-30 NORTH
Little Rock,Pulaski,KROGER PHARMACY 02500627,501-565-7584,8824 GEYER SPRINGS RD
Conway,Faulkner,KROGER PHARMACY 02500625,501-329-3981,855 SALEM RD
Russellville,Pope,KROGER PHARMACY 02500624,479-890-3402,1003 WEST MAIN STREET
Batesville,Independence,"Wilson Wil-Sav Pharmacy, Inc.",870-251-2432,5 Allen Chapel Road
Vilonia,Faulkner,Harps Pharmacy #229,501-796-0150,1086 Main Street
Mountain Home,Baxter,Harps Pharmacy #156,870-508-0054,2089 Hwy 62 West
Springdale,Washington,Harps Pharmacy #170,479-927-3379,1945 Butterfield Coach Road
Fort Smith,Sebastian,Harps Pharmacy #174,479-452-0993,3401 S 74th
Harrison,Boone,Harps Pharmacy #202,870-365-0586,5015 Highway 62 East
Yellville,Marion,Harps Pharmacy #189,870-449-3654,200 N Wickersham Street
Heber Springs,Cleburne,Harps Pharmacy #163,501-206-0146,901 West Main Street
Lincoln,Washington,Harps Pharmacy #179,479-824-3256,310 W. Pridemore Drive
Fayetteville,Washington,Harps Pharmacy #176,479-444-7967,1189 N Garland
Hot Springs,Garland,Harps Pharmacy #394,501-520-0026,5536 Central Ave
Rogers,Benton,Price Cutter Pharmacy #357,479-531-0210,103 N. Dixieland Road
Lowell,Benton,Harps Pharmacy #228,479-751-3764,916 West Monroe Ave
Fayetteville,Washington,Harps Pharmacy #177,479-571-1214,1780 N. Crossover Road
Fort Smith,Sebastian,Harps Pharmacy #137,479-646-5505,2507 Market Trace
Sherwood,Pulaski,Brian's Pharmacy,501-392-6412,4201 E. Kiehl Ave.
Little Rock,Pulaski,Arkansas Diabetes and Endocrinology Center,501-666-3666,11400 Huron Ln
conway,Faulkner,PrimeCare Medical Clinic- Salem Road,501-764-1800,605 salem rd
Conway,Faulkner,PrimeCare Medical Clinic,501-327-7100,812 Oak st
Russellville,Pope,Millard Henry Clinic,479-968-2345,101 Skyline Drive
Jonesboro,Craighead,Family Physicians of Jonesboro,870-932-2499,1670 Hil Park Cove
Fort Smith,Sebastian,Andersons Discount Pharmacy,479-782-2881,700 Lexington Ave
Newport,Jackson,"Bryant, Holifield and Davis Pharmacy dba Norman & Baker Ph",870-523-9472,2200 Malcolm Avenue
Mountain Home,Baxter,Medi-Save Pharmacy,870-424-4010,116 Hwy. 201 N.
Warren,Bradley,Bradley County Medical Center,870-226-3731,404 South Bradley
Hensley,Saline,East End Express Pharmacy,501-486-4100,21019 Hwy 167 Suite 100
Little Rock,Saline,East End Pharmacy,501-888-2830,20381 Arch Street
Mena,Polk,Mena  Regional Health System,479-243-2225,311 North Morrow Street
Magnolia,Columbia,James W. Chambliss MD PLLC PA,870-234-3802,1701 E. North St.
Magnolia,Columbia,"Ked L. Davis, MD PLLC PA",870-234-3802,1701 E. North St.
Redfield,Jefferson,Redfield Pharmacy,501-397-5400,1017 Sheridan Rd.
Mena,Polk,"Healthy Connections, Inc -Health Park Drive",479-437-3449,136 Health Park Drive
Little Rock,Pulaski,"Healthy Connections, Inc - Franklin",501-414-0123,1701 South Harrison Street
DeQueen,Sevier,"Healthy Connections, Inc - De Queen",870-642-4364,1206 W Collin Raye Dr
Arkadelphia,Clark,"Healthy Connections, Inc - Arkadelphia",870-403-0299,301 Professional Park Dr
Hot Springs,Garland,"Healthy Connections, Inc.- Central",501-463-4074,3604 Central Avenue
Little Rock,Pulaski,"Healthy Connections, Inc- Midtown Health for Life",501-603-0003,1100 N. University Ave
Mount Ida,Montgomery,"Healthy Connections, Inc - Mount Ida",870-867-4244,534 Luzerne St
BEARDEN,Ouachita,Bearden Pharmacy,870-687-3814,26 NW 1ST ST.
Mountain Home,Baxter,"Ear, Nose and Throat Associate of Mountain Home, P.A.",870-424-4200,626 Burnett Drive
STUTTGART,Arkansas,PROFESSIONAL PHARMACY,870-673-1741,1515 N MEDICAL DRIVE
Mena,Polk,"Mountain View Clinic I, LLC",479-394-7301,1102 Crestwood Circle
West Memphis,Crittenden,Bio Medical Application of Arkansas dba FKC East Arkansas,870-735-5445,310 South Rhodes St
Maumelle,Pulaski,The Medicine Shoppe #1883,501-851-4949,1701 Club Manor Drive
Benton,Saline,Harrison Family Pharmacy,501-794-6338,2323 Highway 229
Blytheville,Mississippi,Bio Medical Applications of Arkansas BMA Blytheville,870-762-7700,1001 E. Moultree
Little Rock,Pulaski,Landmark Pharmacy,501-888-2223,3401 Atwood Road
Conway,Faulkner,The Medicine Shoppe #1906,501-327-8088,2125 College Ave
Jacksonville,Pulaski,Jacksonville Medical Care,501-985-5900,1300 Braden Street
Cabot,Lonoke,dba Cabot Medical Care,501-843-4555,2037 West Main Street
Conway,Faulkner,Student Health Clinic,501-450-3136,201 Donaghey Ave
Lake Village,Chicot,Hunter's Pharmacy,870-265-2220,401 Main Street
Dermott,Chicot,Delta Drug of Dermott,870-538-5233,111 E Peddicord St
Harrison,Boone,SULLIVAN MAIN STREET PHARMACY,870-741-2119,731 N.Main
Searcy,White,Searcy Children's Clinic,501-279-1472,1407 East Race Ave.
Springdale,Washington,Mercy Clinic Northwest Arkansas,479-751-8440,4600 Mercy Ln.
Lowell,Benton,Mercy Clinic Northwest Arkansas,479-770-0700,325 S. 6th Place
Rogers,Benton,Mercy Clinic Northwest Arkansas,479-338-3750,1002 S. 52nd. St.
Bentonville,Benton,Mercy Clinic Northwest Arkansas,479-986-6090,3101 S.E. 14th St.
Pea Ridge,Benton,Mercy Clinic Northwest Arkansas,479-488-6415,200 Carr St.
Bella Vista,Benton,Mercy Clinic Northwest Arkansas,479-986-6090,One Mercy Way
rogers,Benton,Mercy Clinic Northwest Arkansas,479-878-1060,613 N. 2nd. St.
Rogers,Benton,Mercy Clinic Northwest Arkansas,479-338-5555,2708  Rife Medical Ln.
Bentonville,Benton,Mercy Clinic Northwest Arkansas,479-273-9056,1000 S.E. 13th Ct.
Lowell,Benton,Mercy Clinic Northwest Arkansas,479-636-9234,325 S. 6th. Place
Bentonville,Benton,Mercy Clinic Pediatrics 102,479-636-9234,3101 S. E. 14th. St.
Bentonville,Benton,Mercy Clinic Northwest,479-268-7640,4100 SW I. St.
Bentonville,Benton,Mercy Clinic Northwest Arkansas,479-273-1550,2900 Moberly Ln.
Berryville,Carroll,Mercy Clinic Northwest Arkansas,870-423-6661,207 Carter St.
Bentonville,Benton,Mercy Clinic Northwest Arkansas,479-319-5355,1401 N. Walton Blvd.
Centerton,Benton,Mercy Clinic Northwest Arkansas,479-795-1301,1225E. Centerton Blvd.
Bentonville,Benton,Mercy Clinic Northwest Arkansas,479-636-9234,4100 S.W. I. St
Rogers,Benton,Mercy Clinic Northwest Arkansas,479-338-4000,3333 Pinnacle Hills Pkwy
Trumann,Poinsett,Express Rx of Trumann,870-483-6325,329 Highway 463 North
Prescott,Nevada,Express Rx of Prescott,870-887-6664,1430 West 1st Street
Paris,Logan,Express Rx of Paris,479-963-6400,508 East Walnut Street
Pine Bluff,Jefferson,Express Rx of Pine Bluff,870-850-0159,3006 West 28th Avenue
Heber Springs,Cleburne,Express Rx of Heber Springs,501-302-6010,600 West Main Street
Hot Springs,Garland,Express Rx at National Park (Hot Springs),501-623-2222,105 Sawtooth Oak Street
Hope,Hempstead,Express Rx of Hope,870-777-4643,717 South Main Street
Forrest City,Arkansas,Bio-Medical Forrest City,870-630-6484,210 Barrow Hill Road
Portland,Ashley,Portland Drug,870-737-2813,105 Hwy 165 S
Springdale,Washington,Regency Hospital of Northwest Arkansas,479-757-2600,609 West Maple Avenue 6th Fl
MELBOURNE,Izard,MARK'S PHARMACY,870-368-5355,602 MAIN ST
Conway,Faulkner,Conway Regional Medical Center,501-329-3831,2302 College Avenue
Hampton,Calhoun,"CABUN Rural Health Services, Inc",870-798-4299,402 South Lee Street
Strong,Union,Strong Clinic,870-797-7620,253 South Concord
Amity,Clark,Amity Community Health Center,870-342-5606,210 Main Street
Lewisville,Lafayette,Lewisville Family Practice Center,870-921-5781,1117 Chestnut St
Hope,Hempstead,Hope Family Practice Center,870-777-8420,820 S Main
Fort Smith,Sebastian,Select Specialty Hospital - Fort Smith,479-441-3980,1001 Towson Avenue
Caraway,Craighead,Caraway Drug,870-956-0300,106 W state street
Jacksonville,Pulaski,ARcare Jacksonville 111,501-241-1676,1400 Braden Street
Swifton,Jackson,ARcare,870-485-2234,300 E Main Street
Augusta,Woodruff,ARcare Pharmacy 05  Augusta,870-347-2620,601 Main St
McCrory,Woodruff,ARcare McCrory 120,870-731-1100,908 Edmonds Ave
Augusta,Woodruff,ARCARE,870-347-3402,800 Main
Cotton Plant,Woodruff,ARcare Cotton Plant 29,870-459-3589,125 Oak Street
Pangburn,White,ARcare Pharmacy 07 Pangburn,501-728-4500,304 Main St
Parkin,Cross,ARcare Pharmacy 13 Parkin,870-755-2838,5787 Highway 64
Brinkley,Monroe,ARcare Pharmacy 12 Brinkley,870-734-1100,615 N. Main St
Hector,Pope,ARcare Hector,479-284-2127,11720  Sr. 27
Cabot,Lonoke,ARcare Pharmacy Cabot,501-941-3116,105 N Jackson St
Heber Springs,Cleburne,ARcare Heber Springs 85,501-362-9426,1511 Hwy 25B North
Cherry Valley,Cross,ARcare Cherry Valley,870-442-2040,2624 Highway 42
Lake City,Craighead,ARcare Lake City,870-237-9928,1009 Highway 18
Jonesboro,Craighead,ARcare Jonesboro Midtown,870-333-5476,416 E Washington
Jonesboro,Craighead,ARcare Jonesboro North,870-802-3586,1530 North Church St
England,Lonoke,ARcare England,501-842-3131,227 Pine Bluff Hwy
Newport,Jackson,ARcare Newport 45,870-523-2944,114 Ray Street
Bentonville,Washington,ARcare Bentonville 33,479-271-7634,2805 Mid-Cities Dr
McCrory,Woodruff,ARcare McCrory 50,870-731-5411,801 N Edmonds Ave
Jonesboro,Craighead,ARcare Jonesboro South,870-336-1675,2816 Fox Meadow Labe
Vilonia,Faulkner,ARcare Vilonia,501-796-6740,1127 Main St
Wynne,Cross,ARcare Wynne,870-238-0377,601 E Julia
Cabot,Lonoke,ARCARE 46 Cabot South,501-941-0940,5830 Hwy 5
Batesville,Independence,ARcare Southside,870-569-4934,2450 Batesville Blvd
Conway,Faulkner,ARcare Conway,501-932-9010,1500 Museum Road
Searcy,White,ARcare Searcy 64,501-203-0857,305 Rogers Ave
Little Rock,Pulaski,ARcare Little Rock,501-455-2712,11219 Financial Center Parkway
Springdale,Washington,ARcare Pediatrics,479-759-1699,3057 Springdale Ave
Searcy,White,ARcare Searcy,501-279-7979,406 Rodgers Drive
Brinkley,Monroe,ARcare Brinkley,870-734-1150,615 N Main St
Augsuta,Woodruff,ARcare Center for Education and Wellness/29,870-347-3400,800 Main St
Carlisle,Lonoke,ARcare Carlisle,870-552-1258,821 E Park St Hwy 70
Augusta,Woodruff,ARcare Augusta,870-347-2508,400 Highway 64 E
Little Rock,Pulaski,ARcare 138 Little Rock,501-261-6450,500 S. University
Mountain Home,Baxter,ARcare 137 Mountain Home,870-970-7140,1301 Hwy 62 E
Maumelle,Pulaski,ARcare Maumelle 32,501-803-9990,501 Millwood Circle Ste E
Benton,Saline,ARcare Benton 121,501-860-7150,630 W South
Mayflower,Faulkner,ARcare Mayflower 42,501-470-9780,8 N Railroad Ave
Cabot,Lonoke,ARcare Cabot West 46,501-941-1376,5830 Highway 5
